TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ
14878508,0.0008214892,0.0003806751,-0.000265255,-0.3990299,-0.7629459,-9.825233
14898464,0.0008370991,0.0003817842,-0.0001799701,-0.4073053,-0.7595974,-9.819967
14918733,0.0007149266,0.0001941176,-2.580358e-05,-0.4057327,-0.7558191,-9.818885
14938838,0.0002720985,0.0003987562,0.0001544422,-0.3985541,-0.7529152,-9.818977
14958416,0.0001909323,0.0005933475,0.0002337487,-0.4098585,-0.7545192,-9.814287
14978468,0.0004797817,0.0004519571,0.0004738663,-0.4045867,-0.7584231,-9.814823
14998487,0.0007544726,0.0004465346,0.0004543083,-0.4023917,-0.7652964,-9.824638
15018522,0.001218265,0.0003129306,0.0003427601,-0.4074531,-0.7622992,-9.832197
15038848,0.001670929,0.0002355957,0.0005098106,-0.4067362,-0.7594678,-9.822409
15058433,0.001649767,0.0004177374,0.000585761,-0.4006953,-0.7521511,-9.809306
15078702,0.001457172,0.0008838427,0.0004336151,-0.4013931,-0.7542409,-9.816355
15098492,0.001431385,0.0007636828,0.0001537112,-0.400101,-0.7582088,-9.820416
15118446,0.00114979,0.0006675143,-6.65942e-05,-0.3974572,-0.7603921,-9.836872
15138843,0.0004888454,0.001173555,-6.211728e-05,-0.3912028,-0.7570584,-9.834225
15158497,0.0002324907,0.0007581315,-1.621832e-05,-0.4011791,-0.7568672,-9.831796
15178514,0.0003641851,0.0001784377,9.576303e-05,-0.4002981,-0.7648664,-9.828122
15198434,0.0008995106,-0.0006423059,0.0001962608,-0.3961833,-0.7627505,-9.834996
15218454,0.001532785,-0.0007362035,0.0002905285,-0.3994522,-0.7578902,-9.846174
15239057,0.002422938,-0.0007405442,0.0002598983,-0.4087838,-0.7579435,-9.835886
15258496,0.002799707,-0.0009386289,0.0001953239,-0.4076467,-0.7608076,-9.838857
15278505,0.002635814,-0.0007365097,0.0001991901,-0.4024117,-0.7623499,-9.829632
15298434,0.002349036,-0.0005531261,0.0001249872,-0.4011344,-0.7617378,-9.822845
15318484,0.002302513,-0.0006173379,9.36951e-05,-0.4025324,-0.7558683,-9.813103
15338849,0.002284485,-0.0005760192,0.0001079143,-0.4029863,-0.7559808,-9.818376
15358450,0.002128256,0.0001061761,0.0002708162,-0.3958923,-0.7578567,-9.822082
15378468,0.001745439,0.0003147513,0.0004637644,-0.3961978,-0.7605345,-9.821739
15398634,0.001331335,9.213377e-06,0.0006091695,-0.399941,-0.7677127,-9.821392
15418503,0.001295695,-5.608057e-05,0.0004780067,-0.4007699,-0.7717256,-9.827271
15438860,0.001271022,9.373145e-05,0.0002215673,-0.4159836,-0.7639329,-9.828012
15458425,0.001045558,0.0002271131,0.0002518494,-0.409409,-0.7584205,-9.836527
15478458,0.0008791644,0.000388214,0.0003128109,-0.4113172,-0.7588366,-9.838555
15498462,0.0007634631,0.0006035508,0.0004224402,-0.4160898,-0.7569929,-9.831644
15518519,0.0006316088,0.0006448899,0.0002442838,-0.4121593,-0.7556851,-9.816641
15538837,0.0004270102,0.0008111268,0.0001027766,-0.4047797,-0.7585894,-9.820583
15558666,0.0004849939,0.000926883,5.753004e-05,-0.4135908,-0.7551276,-9.828774
15578455,0.0005060298,0.0007979918,-2.71099e-06,-0.4087302,-0.7511544,-9.82772
15598489,0.000570694,0.0005784158,-5.335722e-05,-0.4017028,-0.760617,-9.830791
15618487,0.0008600621,0.000202761,0.0002125361,-0.4055675,-0.7673928,-9.833244
15638832,0.001146754,0.0003171212,0.0002593881,-0.4090858,-0.7642711,-9.832675
15658432,0.001359597,0.0002986888,0.0002105018,-0.4063863,-0.7643187,-9.829564
15678574,0.001723103,7.991695e-05,0.0001076366,-0.4097076,-0.7691161,-9.828804
15698460,0.002191195,0.0001231621,0.0001129219,-0.4034531,-0.7698106,-9.844391
15718654,0.002180091,0.0005898628,0.0001742841,-0.4023673,-0.764505,-9.835934
15738900,0.001937835,0.0008725807,2.300588e-05,-0.4125984,-0.7606066,-9.819407
15758490,0.001728301,0.0005095084,-8.558301e-05,-0.4178266,-0.762243,-9.812049
15778511,0.00133713,0.0005285196,-0.0002147954,-0.4138643,-0.7689844,-9.81555
15798429,0.001078362,0.0009220092,-0.0001728382,-0.4017914,-0.7702471,-9.825688
15818510,0.001083095,0.0008149789,-8.959661e-05,-0.3920231,-0.7697421,-9.828373
15838896,0.001199383,0.0002517107,-0.0001790301,-0.3986754,-0.7633666,-9.835818
15858403,0.001577354,-0.0004680348,-0.0001966025,-0.3967335,-0.7603493,-9.84219
15878678,0.001939147,-0.0006757943,-0.0003241144,-0.3976288,-0.7616464,-9.84892
15898440,0.001973577,-0.0009899436,-0.0002296687,-0.399043,-0.7587801,-9.838112
15918500,0.00190681,-0.0009679486,-8.38151e-05,-0.4020919,-0.7614504,-9.835309
15938844,0.001847555,-0.0007435338,-0.0001506356,-0.4039536,-0.7584303,-9.836334
15958440,0.002250617,-0.0008093028,-0.0001266424,-0.3982433,-0.7590293,-9.832474
15978489,0.0022763,-0.001246791,8.378192e-05,-0.3915463,-0.7580861,-9.83668
